"GEO_ID","NAME","P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073","P002049","P002001","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048"
"0500000US05059","Hot Spring County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32923","919","32004","31510","27703","3544","146","93","12","12","494","471","163","203","49","7","12","24","3","2","5","1","0","0","0","1","1","23","16","3","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05061","Howard County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13789","1349","12440","12302","9292","2813","94","84","9","10","138","132","58","53","13","1","0","5","0","1","0","0","0","0","1","0","0","6","2","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"0500000US05063","Independence County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36647","2139","34508","34076","32914","709","142","276","19","16","432","418","137","196","61","3","6","4","1","5","2","1","0","0","1","1","0","14","12","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05065","Izard County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13696","208","13488","13327","13006","175","102","39","2","3","161","156","27","104","20","1","3","0","0","0","0","0","1","0","0","0","0","5","3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"0500000US05067","Jackson County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17997","436","17561","17331","14180","2988","86","53","16","8","230","220","89","104","10","0","2","6","4","1","3","0","0","1","0","0","0","10","5","1","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"0500000US05069","Jefferson County, Arkansas","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","77435","1219","76216","75392","32050","42485","201","595","9","52","824","776","343","204","59","5","13","93","23","6","20","1","1","4","1","2","1","43","24","1","0","4","1","2","1","1","0","0","0","1","5","3","0","0","0","0","0","0"
"0500000US05071","Johnson County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","25540","3094","22446","22084","21328","336","209","175","17","19","362","356","72","213","38","5","10","7","0","0","0","5","1","1","0","1","3","5","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05073","Lafayette County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7645","131","7514","7459","4583","2837","11","26","0","2","55","53","26","19","3","0","1","4","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05075","Lawrence County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17415","158","17257","17070","16848","134","61","22","4","1","187","180","32","117","18","2","5","2","0","0","0","0","0","0","0","4","0","7","4","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05077","Lee County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10424","168","10256","10143","4320","5740","40","41","2","0","113","107","48","33","6","0","0","13","2","1","4","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05079","Lincoln County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14134","452","13682","13568","9296","4211","35","20","1","5","114","113","39","49","14","1","0","8","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05081","Little River County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13171","357","12814","12579","9831","2508","186","39","2","13","235","227","81","117","5","6","0","11","2","0","1","3","1","0","0","0","0","8","4","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05083","Logan County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22353","510","21843","21490","20608","285","228","361","4","4","353","340","75","202","28","4","6","6","2","1","0","1","1","1","4","9","0","13","8","0","0","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
